VIN_NO,ContractStartDate,MaturityDate,TerminationDate,SaleDate,TerminationType,PurchasedBy,PurchasingRegion,ModelYear,TrimName,ModelName,SalesChannel,CarAccident,InspectedDamage_NotRepaired,RepairCost,Odometer,PurchasePrice,MSRP
5352,2015-07-31,2018-07-31,2018-04-30,2018-05-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,C,No,400,NULL,60000,20000,42000
5353,2015-05-31,2018-08-31,2018-09-30,2019-02-28,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,Major,600,500,39000,15000,41000
5354,2015-09-30,2019-09-30,2019-08-31,2019-10-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,No,1400,500,68000,12000,41000
5355,2015-03-31,2018-06-30,2017-10-31,2017-12-31,Terminated Prior to Maturity Date,Independent Retailer,1,2001,TRIM_2,MODEL_A,H,No,2100,900,46000,21000,42000
5356,2015-04-30,2019-04-30,2019-04-30,2019-04-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,F,Moderate,700,NULL,25000,19000,43000
5357,2015-09-30,2019-09-30,2018-06-30,2018-09-30,Terminated Prior to Maturity Date,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,No,1900,NULL,96000,16000,43000
5358,2015-05-31,2019-05-31,2019-05-31,2019-06-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,Major,200,NULL,57000,15000,41000
5359,2015-06-30,2019-06-30,2019-05-31,2019-08-31,Terminated at End of Maturity,Independent Retailer,3,2001,TRIM_2,MODEL_A,H,No,2200,500,77000,15000,41000
5360,2015-09-30,2019-09-30,2019-10-31,2019-11-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,Moderate,2900,NULL,54000,13000,45000
5361,2015-02-28,2019-02-28,2019-01-31,2019-01-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,G,Moderate,1200,NULL,21000,19000,42000
5362,2015-02-28,2019-02-28,2018-11-30,2019-01-31,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_2,MODEL_A,H,Moderate,800,500,57000,16000,44000
5363,2015-11-30,2019-11-30,2019-04-30,2019-07-31,Terminated Prior to Maturity Date,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,Moderate,2900,NULL,78000,14000,41000
5364,2015-05-31,2019-05-31,2017-12-31,2019-02-28,Reposessed,Independent Retailer,4,2001,TRIM_2,MODEL_A,H,Moderate,NULL,400,71000,16000,41000
5365,2015-04-30,2018-07-31,2018-04-30,2018-05-31,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,G,Mild,1000,NULL,30000,21000,41000
5366,2015-05-31,2019-05-31,2019-06-30,2019-06-30,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,F,No,2500,NULL,84000,15000,44000
5367,2015-03-31,2018-06-30,2018-06-30,2018-07-31,Terminated at End of Maturity,Independent Retailer,1,2001,TRIM_2,MODEL_A,H,Major,2400,400,64000,17000,40000
5368,2015-05-31,2019-05-31,2018-09-30,2019-01-31,Terminated Prior to Maturity Date,Independent Retailer,2,2001,TRIM_2,MODEL_A,H,No,1200,1400,68000,17000,43000
5369,2015-02-28,2019-02-28,2019-01-31,2019-02-28,Terminated at End of Maturity,Independent Retailer,2,2001,TRIM_2,MODEL_A,G,Mild,1100,NULL,46000,17000,42000
