VIN_NO,TYPE,COLOUR
163,Exterior Color,WHITE
164,Upholstery Type,BLACK
164,Exterior Color,GREY
165,Upholstery Type,BLACK
165,Exterior Color,WHITE
166,Exterior Color,GREY
166,Upholstery Type,UNDEF
167,Exterior Color,BLACK
167,Upholstery Type,BLACK
168,Exterior Color,GREY
168,Upholstery Type,BLACK
169,Upholstery Type,UNDEF
169,Exterior Color,GREY
170,Exterior Color,WHITE
170,Upholstery Type,UNDEF
171,Upholstery Type,BLACK
171,Exterior Color,BLACK
172,Upholstery Type,BLACK
172,Exterior Color,GREY
173,Exterior Color,GREY
173,Upholstery Type,BLACK
174,Exterior Color,BLACK
174,Upholstery Type,BLACK
175,Exterior Color,BLUE
175,Upholstery Type,UNDEF
176,Exterior Color,WHITE
176,Upholstery Type,BLACK
177,Exterior Color,GREY
177,Upholstery Type,UNDEF
178,Upholstery Type,UNDEF
178,Exterior Color,GREY
179,Exterior Color,BLUE
179,Upholstery Type,UNDEF
180,Upholstery Type,BLACK
180,Exterior Color,WHITE
181,Exterior Color,GREY
181,Upholstery Type,BLACK
182,Upholstery Type,BLACK
182,Exterior Color,WHITE
183,Exterior Color,GREY
183,Upholstery Type,BLACK
184,Upholstery Type,BLACK
184,Exterior Color,BLACK
185,Upholstery Type,BLACK
185,Exterior Color,GREY
186,Exterior Color,SILVER
186,Upholstery Type,BLACK
187,Exterior Color,BLACK
187,Upholstery Type,BLACK
188,Exterior Color,BLUE
188,Upholstery Type,BLACK
189,Exterior Color,BLUE
189,Upholstery Type,UNDEF
190,Exterior Color,WHITE
190,Upholstery Type,BLACK
191,Exterior Color,GREY
191,Upholstery Type,BLACK
192,Upholstery Type,RED
192,Exterior Color,GREY
193,Exterior Color,WHITE
193,Upholstery Type,RED
194,Exterior Color,BLUE
194,Upholstery Type,BLACK
195,Exterior Color,RED
195,Upholstery Type,UNDEF
196,Upholstery Type,BLACK
196,Exterior Color,WHITE
197,Exterior Color,GREY
197,Upholstery Type,RED
198,Exterior Color,BLACK
198,Upholstery Type,BLACK
199,Exterior Color,SILVER
199,Upholstery Type,RED
200,Exterior Color,BLACK
200,Upholstery Type,UNDEF
201,Upholstery Type,BLACK
201,Exterior Color,WHITE
202,Upholstery Type,BLACK
202,Exterior Color,WHITE
203,Exterior Color,BLUE
203,Upholstery Type,UNDEF
204,Exterior Color,BLACK
204,Upholstery Type,BLACK
205,Upholstery Type,BLACK
205,Exterior Color,BLACK
206,Upholstery Type,BLACK
206,Exterior Color,GREY
207,Upholstery Type,BLACK
207,Exterior Color,RED
208,Exterior Color,WHITE
208,Upholstery Type,BLACK
209,Exterior Color,BLACK
209,Upholstery Type,RED
210,Exterior Color,WHITE
210,Upholstery Type,BLACK
211,Exterior Color,WHITE
211,Upholstery Type,BLACK
212,Upholstery Type,RED
212,Exterior Color,BLACK
213,Exterior Color,WHITE
213,Upholstery Type,BLACK
214,Exterior Color,WHITE
214,Upholstery Type,BLACK
215,Exterior Color,GREY
215,Upholstery Type,UNDEF
216,Exterior Color,BLACK
216,Upholstery Type,BLACK
217,Upholstery Type,BLACK
217,Exterior Color,BLACK
218,Exterior Color,SILVER
218,Upholstery Type,BLACK
219,Upholstery Type,BLACK
219,Exterior Color,BLACK
220,Exterior Color,BLACK
220,Upholstery Type,BLACK
221,Upholstery Type,BROWN
221,Exterior Color,BLUE
222,Upholstery Type,RED
222,Exterior Color,GREY
223,Exterior Color,WHITE
223,Upholstery Type,RED
224,Upholstery Type,BROWN
224,Exterior Color,UNDEF
225,Exterior Color,GREY
225,Upholstery Type,BLACK
226,Upholstery Type,BLACK
226,Exterior Color,SILVER
227,Upholstery Type,BLACK
227,Exterior Color,WHITE
228,Upholstery Type,UNDEF
228,Exterior Color,UNDEF
229,Upholstery Type,BLACK
229,Exterior Color,WHITE
230,Upholstery Type,BEIGE
230,Exterior Color,BLACK
231,Exterior Color,BLACK
231,Upholstery Type,RED
232,Upholstery Type,RED
232,Exterior Color,BLACK
233,Exterior Color,WHITE
233,Upholstery Type,BLACK
234,Upholstery Type,BEIGE
234,Exterior Color,UNDEF
235,Upholstery Type,BLACK
235,Exterior Color,BLACK
236,Exterior Color,BLACK
236,Upholstery Type,BLACK
237,Upholstery Type,UNDEF
237,Exterior Color,WHITE
238,Exterior Color,BLACK
238,Upholstery Type,BLACK
239,Upholstery Type,BEIGE
239,Exterior Color,UNDEF
240,Upholstery Type,BLACK
240,Exterior Color,SILVER
241,Upholstery Type,BROWN
241,Exterior Color,BLACK
242,Upholstery Type,BROWN
242,Exterior Color,BLUE
243,Upholstery Type,UNDEF
243,Exterior Color,UNDEF
244,Upholstery Type,BROWN
244,Exterior Color,GREY
245,Upholstery Type,BROWN
245,Exterior Color,GREY
246,Upholstery Type,BROWN
246,Exterior Color,GREY
247,Exterior Color,GREY
247,Upholstery Type,BLACK
248,Upholstery Type,BLACK
248,Exterior Color,WHITE
249,Exterior Color,BLACK
249,Upholstery Type,BLACK
250,Exterior Color,BLUE
250,Upholstery Type,BROWN
251,Upholstery Type,RED
251,Exterior Color,GREY
252,Upholstery Type,BLACK
252,Exterior Color,RED
253,Upholstery Type,BLACK
253,Exterior Color,WHITE
254,Upholstery Type,BLACK
254,Exterior Color,WHITE
255,Exterior Color,GREY
255,Upholstery Type,BROWN
256,Upholstery Type,BROWN
256,Exterior Color,BLACK
257,Upholstery Type,BLACK
257,Exterior Color,BLACK
258,Upholstery Type,BROWN
258,Exterior Color,UNDEF
259,Upholstery Type,BROWN
259,Exterior Color,BLACK
260,Upholstery Type,BLACK
260,Exterior Color,BLACK
261,Exterior Color,RED
261,Upholstery Type,BLACK
262,Exterior Color,BLUE
262,Upholstery Type,BROWN
263,Upholstery Type,BLACK
263,Exterior Color,WHITE
264,Upholstery Type,RED
264,Exterior Color,BLACK
265,Upholstery Type,BLACK
265,Exterior Color,BLACK
266,Exterior Color,GREY
266,Upholstery Type,BLACK
267,Exterior Color,BLUE
267,Upholstery Type,BLACK
268,Upholstery Type,BLACK
268,Exterior Color,SILVER
269,Upholstery Type,BLACK
269,Exterior Color,GREY
270,Upholstery Type,BLACK
270,Exterior Color,WHITE
271,Upholstery Type,BLACK
271,Exterior Color,BLACK
272,Upholstery Type,BROWN
272,Exterior Color,BLACK
273,Upholstery Type,RED
273,Exterior Color,WHITE
274,Exterior Color,GREY
274,Upholstery Type,BLACK
275,Exterior Color,WHITE
275,Upholstery Type,BROWN
276,Exterior Color,BLACK
276,Upholstery Type,BLACK
277,Exterior Color,WHITE
277,Upholstery Type,BROWN
278,Upholstery Type,BLACK
278,Exterior Color,GREY
