VIN_NO,TYPE,COLOUR
9711,Exterior Color,GREY
9711,Upholstery Type,RED
9712,Exterior Color,BLACK
9712,Upholstery Type,BLACK
9713,Upholstery Type,RED
9713,Exterior Color,BLACK
9714,Upholstery Type,BLACK
9714,Exterior Color,BLUE
9715,Upholstery Type,BLACK
9715,Exterior Color,WHITE
9716,Exterior Color,BLACK
9716,Upholstery Type,BLACK
9717,Exterior Color,BLACK
9717,Upholstery Type,RED
9718,Exterior Color,WHITE
9718,Upholstery Type,RED
9719,Exterior Color,BLACK
9719,Upholstery Type,RED
9720,Exterior Color,WHITE
9720,Upholstery Type,RED
9721,Upholstery Type,BLACK
9721,Exterior Color,BLUE
9722,Exterior Color,RED
9722,Upholstery Type,BLACK
9723,Upholstery Type,BLACK
9723,Exterior Color,BLUE
9724,Upholstery Type,BLACK
9724,Exterior Color,BLACK
9725,Exterior Color,GREY
9725,Upholstery Type,RED
9726,Exterior Color,BLUE
9726,Upholstery Type,UNDEF
9727,Upholstery Type,RED
9727,Exterior Color,BLACK
9728,Upholstery Type,BLACK
9728,Exterior Color,BLACK
9729,Upholstery Type,BEIGE
9729,Exterior Color,BLACK
9730,Upholstery Type,BLACK
9730,Exterior Color,BLUE
9731,Upholstery Type,BLACK
9731,Exterior Color,GREY
9732,Exterior Color,BLACK
9732,Upholstery Type,BLACK
9733,Upholstery Type,BEIGE
9733,Exterior Color,BLACK
9734,Upholstery Type,BLACK
9734,Exterior Color,WHITE
9735,Exterior Color,BLUE
9735,Upholstery Type,BLACK
9736,Upholstery Type,BLACK
9736,Exterior Color,BLACK
9737,Exterior Color,WHITE
9737,Upholstery Type,BEIGE
9738,Exterior Color,BLACK
9738,Upholstery Type,BLACK
9739,Upholstery Type,BROWN
9739,Exterior Color,BLACK
9740,Upholstery Type,BROWN
9740,Exterior Color,SILVER
9741,Exterior Color,WHITE
9741,Upholstery Type,BROWN
9742,Exterior Color,GREY
9742,Upholstery Type,BLACK
9743,Exterior Color,BLACK
9743,Upholstery Type,BLACK
9744,Upholstery Type,BROWN
9744,Exterior Color,WHITE
9745,Upholstery Type,BLACK
9745,Exterior Color,WHITE
9746,Upholstery Type,BLACK
9746,Exterior Color,GREY
9747,Upholstery Type,BLACK
9747,Exterior Color,WHITE
9748,Upholstery Type,BLACK
9748,Exterior Color,SILVER
9749,Upholstery Type,BLACK
9749,Exterior Color,BLACK
9750,Exterior Color,BLACK
9750,Upholstery Type,BLACK
9751,Exterior Color,BLACK
9751,Upholstery Type,BEIGE
9752,Exterior Color,BLACK
9752,Upholstery Type,BROWN
9753,Exterior Color,WHITE
9753,Upholstery Type,BLACK
9754,Upholstery Type,BROWN
9754,Exterior Color,SILVER
9755,Upholstery Type,BROWN
9755,Exterior Color,BLUE
9756,Upholstery Type,RED
9756,Exterior Color,BLACK
9757,Upholstery Type,BLACK
9757,Exterior Color,WHITE
9758,Upholstery Type,BLACK
9758,Exterior Color,WHITE
9759,Exterior Color,BLUE
9759,Upholstery Type,BEIGE
9760,Upholstery Type,UNDEF
9760,Exterior Color,GREY
9761,Exterior Color,BLUE
9761,Upholstery Type,BLACK
9762,Upholstery Type,BLACK
9762,Exterior Color,WHITE
9763,Exterior Color,WHITE
9763,Upholstery Type,BLACK
9764,Upholstery Type,BLACK
9764,Exterior Color,WHITE
9765,Upholstery Type,BLACK
9765,Exterior Color,BLACK
9766,Exterior Color,WHITE
9766,Upholstery Type,BLACK
9767,Upholstery Type,RED
9767,Exterior Color,BLACK
9768,Exterior Color,BLUE
9768,Upholstery Type,BEIGE
9769,Exterior Color,BLACK
9769,Upholstery Type,BLACK
9770,Upholstery Type,RED
9770,Exterior Color,WHITE
9771,Upholstery Type,RED
9771,Exterior Color,WHITE
9772,Exterior Color,GREY
9772,Upholstery Type,BLACK
9773,Exterior Color,GREY
9773,Upholstery Type,RED
9774,Exterior Color,BLUE
9774,Upholstery Type,BROWN
9775,Exterior Color,BLACK
9775,Upholstery Type,RED
9776,Exterior Color,WHITE
9776,Upholstery Type,BROWN
9777,Upholstery Type,BLACK
9777,Exterior Color,WHITE
9778,Exterior Color,WHITE
9778,Upholstery Type,RED
9779,Exterior Color,BLACK
9779,Upholstery Type,RED
9780,Exterior Color,WHITE
9780,Upholstery Type,RED
9781,Upholstery Type,BLACK
9781,Exterior Color,GREY
9782,Upholstery Type,BLACK
9782,Exterior Color,BLACK
9783,Exterior Color,BLACK
9783,Upholstery Type,BLACK
9784,Upholstery Type,RED
9784,Exterior Color,WHITE
9785,Upholstery Type,BROWN
9785,Exterior Color,BLACK
9786,Exterior Color,GREY
9786,Upholstery Type,BROWN
9787,Upholstery Type,RED
9787,Exterior Color,WHITE
9788,Exterior Color,WHITE
9788,Upholstery Type,BROWN
9789,Upholstery Type,BLACK
9789,Exterior Color,WHITE
9790,Exterior Color,WHITE
9790,Upholstery Type,RED
9791,Upholstery Type,BROWN
9791,Exterior Color,WHITE
9792,Upholstery Type,RED
9792,Exterior Color,BLACK
9793,Exterior Color,BLACK
9793,Upholstery Type,BROWN
9794,Exterior Color,WHITE
9794,Upholstery Type,BLACK
9795,Upholstery Type,BLACK
9795,Exterior Color,BLUE
9796,Exterior Color,BLACK
9796,Upholstery Type,RED
9797,Upholstery Type,RED
9797,Exterior Color,WHITE
9798,Exterior Color,UNDEF
9798,Upholstery Type,BLACK
9799,Exterior Color,UNDEF
9799,Upholstery Type,BLACK
9800,Upholstery Type,BROWN
9800,Exterior Color,BLACK
9801,Exterior Color,WHITE
9801,Upholstery Type,RED
9802,Exterior Color,WHITE
9802,Upholstery Type,RED
9803,Exterior Color,SILVER
9803,Upholstery Type,BLACK
9804,Exterior Color,WHITE
9804,Upholstery Type,BLACK
9805,Upholstery Type,RED
9805,Exterior Color,WHITE
9806,Exterior Color,WHITE
9806,Upholstery Type,BLACK
9807,Exterior Color,UNDEF
9807,Upholstery Type,BLACK
9808,Upholstery Type,BROWN
9808,Exterior Color,BLUE
9809,Exterior Color,BLACK
9809,Upholstery Type,RED
9810,Exterior Color,UNDEF
9810,Upholstery Type,BLACK
9811,Upholstery Type,ORANGE
9811,Exterior Color,WHITE
9812,Upholstery Type,BLACK
9812,Exterior Color,BLUE
9813,Exterior Color,UNDEF
9813,Upholstery Type,BROWN
9814,Exterior Color,WHITE
9814,Upholstery Type,BLACK
9815,Exterior Color,BLACK
9815,Upholstery Type,BLACK
9816,Upholstery Type,BLACK
9816,Exterior Color,UNDEF
9817,Upholstery Type,BLACK
9817,Exterior Color,BLACK
9818,Exterior Color,WHITE
9818,Upholstery Type,RED
9819,Exterior Color,BLACK
9819,Upholstery Type,RED
9820,Exterior Color,BLACK
9820,Upholstery Type,BLACK
9821,Upholstery Type,RED
9821,Exterior Color,BLACK
9822,Exterior Color,BLUE
9822,Upholstery Type,BLACK
9823,Exterior Color,WHITE
9823,Upholstery Type,RED
9824,Upholstery Type,RED
9824,Exterior Color,BLACK
9825,Upholstery Type,BLACK
9825,Exterior Color,WHITE
9826,Upholstery Type,BROWN
9826,Exterior Color,BLUE
9827,Exterior Color,BLACK
9827,Upholstery Type,BLACK
9828,Exterior Color,BLACK
9828,Upholstery Type,BLACK
9829,Exterior Color,GREY
9829,Upholstery Type,BROWN
9830,Upholstery Type,BLACK
9830,Exterior Color,BLUE
9831,Upholstery Type,RED
9831,Exterior Color,WHITE
9832,Exterior Color,WHITE
9832,Upholstery Type,BROWN
9833,Exterior Color,BLACK
9833,Upholstery Type,RED
9834,Exterior Color,WHITE
9834,Upholstery Type,RED
9835,Upholstery Type,UNDEF
9835,Exterior Color,BLACK
9836,Exterior Color,WHITE
9836,Upholstery Type,RED
9837,Upholstery Type,BLACK
9837,Exterior Color,BLUE
9838,Upholstery Type,RED
9838,Exterior Color,WHITE
9839,Upholstery Type,BLACK
9839,Exterior Color,WHITE
9840,Upholstery Type,BROWN
9840,Exterior Color,BLACK
9841,Upholstery Type,BLACK
9841,Exterior Color,BLACK
9842,Exterior Color,WHITE
9842,Upholstery Type,RED
9843,Exterior Color,BLACK
9843,Upholstery Type,BLACK
9844,Exterior Color,GREY
9844,Upholstery Type,BLACK
9845,Upholstery Type,BEIGE
9845,Exterior Color,WHITE
9846,Upholstery Type,RED
9846,Exterior Color,SILVER
9847,Exterior Color,WHITE
9847,Upholstery Type,BLACK
9848,Upholstery Type,RED
9848,Exterior Color,WHITE
9849,Exterior Color,SILVER
9849,Upholstery Type,RED
9850,Exterior Color,WHITE
9850,Upholstery Type,BLACK
9851,Exterior Color,WHITE
9851,Upholstery Type,BLACK
9852,Exterior Color,WHITE
9852,Upholstery Type,BLACK
9853,Exterior Color,GREY
9853,Upholstery Type,BROWN
9854,Upholstery Type,UNDEF
9854,Exterior Color,GREY
9855,Exterior Color,BLACK
9855,Upholstery Type,BROWN
9856,Exterior Color,BLACK
9856,Upholstery Type,BLACK
9857,Exterior Color,WHITE
9857,Upholstery Type,RED
9858,Upholstery Type,BLACK
9858,Exterior Color,WHITE
9859,Upholstery Type,BLACK
9859,Exterior Color,BLACK
9860,Exterior Color,BLACK
9860,Upholstery Type,BLACK
9861,Exterior Color,WHITE
9861,Upholstery Type,RED
9862,Exterior Color,GREY
9862,Upholstery Type,RED
9863,Upholstery Type,BLACK
9863,Exterior Color,WHITE
9864,Exterior Color,SILVER
9864,Upholstery Type,RED
9865,Upholstery Type,BLACK
9865,Exterior Color,BLACK
9866,Upholstery Type,RED
9866,Exterior Color,WHITE
9867,Upholstery Type,RED
9867,Exterior Color,WHITE
9868,Exterior Color,BLACK
9868,Upholstery Type,BROWN
9869,Exterior Color,GREY
9869,Upholstery Type,BLACK
9870,Upholstery Type,BROWN
9870,Exterior Color,BLUE
9871,Exterior Color,WHITE
9871,Upholstery Type,UNDEF
9872,Upholstery Type,RED
9872,Exterior Color,WHITE
9873,Upholstery Type,UNDEF
9873,Exterior Color,BLUE
9874,Exterior Color,BLACK
9874,Upholstery Type,RED
9875,Exterior Color,WHITE
9875,Upholstery Type,BROWN
9876,Upholstery Type,BROWN
9876,Exterior Color,GREY
9877,Exterior Color,BLACK
9877,Upholstery Type,RED
9878,Exterior Color,BLACK
9878,Upholstery Type,RED
9879,Exterior Color,GREY
9879,Upholstery Type,RED
9880,Exterior Color,BLACK
9880,Upholstery Type,BROWN
9881,Exterior Color,BLACK
9881,Upholstery Type,BLACK
9882,Exterior Color,BLACK
9882,Upholstery Type,BLACK
9883,Exterior Color,BLUE
9883,Upholstery Type,BLACK
9884,Exterior Color,WHITE
9884,Upholstery Type,UNDEF
9885,Exterior Color,WHITE
9885,Upholstery Type,BLACK
9886,Upholstery Type,BLACK
9886,Exterior Color,SILVER
9887,Exterior Color,GREY
9887,Upholstery Type,RED
9888,Upholstery Type,BROWN
9888,Exterior Color,GREY
9889,Upholstery Type,BLACK
9889,Exterior Color,GREY
9890,Exterior Color,BLACK
9890,Upholstery Type,RED
9891,Exterior Color,WHITE
9891,Upholstery Type,BROWN
9892,Upholstery Type,BLACK
9892,Exterior Color,WHITE
9893,Exterior Color,WHITE
9893,Upholstery Type,BLACK
9894,Upholstery Type,RED
9894,Exterior Color,GREY
9895,Exterior Color,WHITE
9895,Upholstery Type,RED
9896,Exterior Color,WHITE
9896,Upholstery Type,RED
9897,Exterior Color,BLACK
9897,Upholstery Type,RED
9898,Exterior Color,BLACK
9898,Upholstery Type,BLACK
9899,Upholstery Type,BLACK
9899,Exterior Color,BLUE
9900,Exterior Color,BLACK
9900,Upholstery Type,BLACK
9901,Exterior Color,BLACK
9901,Upholstery Type,UNDEF
9902,Exterior Color,GREY
9902,Upholstery Type,BLACK
9903,Exterior Color,BLACK
9903,Upholstery Type,RED
9904,Upholstery Type,BLACK
9904,Exterior Color,SILVER
9905,Exterior Color,WHITE
9905,Upholstery Type,BLACK
9906,Exterior Color,SILVER
9906,Upholstery Type,RED
9907,Exterior Color,WHITE
9907,Upholstery Type,BLACK
9908,Exterior Color,WHITE
9908,Upholstery Type,BROWN
9909,Exterior Color,BLACK
9909,Upholstery Type,BROWN
9910,Exterior Color,GREY
9910,Upholstery Type,BLACK
9911,Upholstery Type,UNDEF
9911,Exterior Color,GREY
9912,Upholstery Type,RED
9912,Exterior Color,WHITE
9913,Exterior Color,WHITE
9913,Upholstery Type,RED
9914,Exterior Color,BLACK
9914,Upholstery Type,RED
9915,Upholstery Type,BROWN
9915,Exterior Color,WHITE
9916,Upholstery Type,BLACK
9916,Exterior Color,BLACK
9917,Upholstery Type,BLACK
9917,Exterior Color,WHITE
9918,Upholstery Type,RED
9918,Exterior Color,GREY
9919,Exterior Color,WHITE
9919,Upholstery Type,BROWN
9920,Exterior Color,BLUE
9920,Upholstery Type,BEIGE
9921,Upholstery Type,BROWN
9921,Exterior Color,GREY
9922,Exterior Color,BLACK
9922,Upholstery Type,BLACK
9923,Exterior Color,BLACK
9923,Upholstery Type,RED
9924,Upholstery Type,BROWN
9924,Exterior Color,UNDEF
9925,Exterior Color,BLACK
9925,Upholstery Type,BLACK
9926,Upholstery Type,RED
9926,Exterior Color,GREY
9927,Upholstery Type,BROWN
9927,Exterior Color,WHITE
9928,Upholstery Type,RED
9928,Exterior Color,WHITE
9929,Exterior Color,GREY
9929,Upholstery Type,BLACK
9930,Upholstery Type,RED
9930,Exterior Color,WHITE
9931,Upholstery Type,RED
9931,Exterior Color,SILVER
9932,Exterior Color,BLUE
9932,Upholstery Type,UNDEF
9933,Upholstery Type,RED
9933,Exterior Color,WHITE
9934,Upholstery Type,UNDEF
9934,Exterior Color,BLACK
9935,Exterior Color,BLUE
9935,Upholstery Type,BROWN
9936,Upholstery Type,RED
9936,Exterior Color,GREY
9937,Exterior Color,BLACK
9937,Upholstery Type,RED
9938,Exterior Color,WHITE
9938,Upholstery Type,BLACK
9939,Exterior Color,WHITE
9939,Upholstery Type,BLACK
9940,Upholstery Type,BEIGE
9940,Exterior Color,BLACK
9941,Exterior Color,BLUE
9941,Upholstery Type,UNDEF
9942,Exterior Color,BLUE
9942,Upholstery Type,UNDEF
9943,Exterior Color,BLACK
9943,Upholstery Type,RED
9944,Exterior Color,BLACK
9944,Upholstery Type,RED
9945,Upholstery Type,BLACK
9945,Exterior Color,BLACK
9946,Upholstery Type,RED
9946,Exterior Color,BLACK
9947,Upholstery Type,RED
9947,Exterior Color,BLACK
9948,Exterior Color,WHITE
9948,Upholstery Type,BLACK
9949,Upholstery Type,UNDEF
9949,Exterior Color,GREY
9950,Exterior Color,GREY
9950,Upholstery Type,BLACK
9951,Upholstery Type,RED
9951,Exterior Color,SILVER
9952,Exterior Color,WHITE
9952,Upholstery Type,RED
9953,Exterior Color,SILVER
9953,Upholstery Type,RED
9954,Exterior Color,SILVER
9954,Upholstery Type,RED
9955,Exterior Color,BLACK
9955,Upholstery Type,BLACK
9956,Exterior Color,WHITE
9956,Upholstery Type,UNDEF
9957,Upholstery Type,RED
9957,Exterior Color,WHITE
9958,Upholstery Type,BLACK
9958,Exterior Color,RED
9959,Exterior Color,BLACK
9959,Upholstery Type,RED
9960,Upholstery Type,RED
9960,Exterior Color,BLACK
9961,Upholstery Type,RED
9961,Exterior Color,WHITE
9962,Upholstery Type,BLACK
9962,Exterior Color,BLACK
9963,Upholstery Type,RED
9963,Exterior Color,WHITE
9964,Upholstery Type,RED
9964,Exterior Color,BLACK
9965,Upholstery Type,UNDEF
9965,Exterior Color,BLACK
9966,Exterior Color,WHITE
9966,Upholstery Type,UNDEF
9967,Upholstery Type,RED
9967,Exterior Color,GREY
9968,Upholstery Type,RED
9968,Exterior Color,SILVER
9969,Upholstery Type,RED
9969,Exterior Color,GREY
9970,Upholstery Type,BLACK
9970,Exterior Color,SILVER
9971,Exterior Color,BLACK
9971,Upholstery Type,BLACK
9972,Exterior Color,SILVER
9972,Upholstery Type,BLACK
9973,Exterior Color,BLACK
9973,Upholstery Type,RED
9974,Exterior Color,WHITE
9974,Upholstery Type,RED
9975,Upholstery Type,BLACK
9975,Exterior Color,WHITE
9976,Exterior Color,BLACK
9976,Upholstery Type,RED
9977,Upholstery Type,RED
9977,Exterior Color,BLACK
9978,Upholstery Type,BLACK
9978,Exterior Color,BLACK
9979,Exterior Color,GREY
9979,Upholstery Type,BLACK
9980,Upholstery Type,RED
9980,Exterior Color,BLACK
9981,Upholstery Type,RED
9981,Exterior Color,BLACK
9982,Upholstery Type,BLACK
9982,Exterior Color,GREY
9983,Upholstery Type,BLACK
9983,Exterior Color,RED
9984,Upholstery Type,RED
9984,Exterior Color,WHITE
9985,Exterior Color,BLACK
9985,Upholstery Type,RED
9986,Exterior Color,BLACK
9986,Upholstery Type,BLACK
9987,Upholstery Type,RED
9987,Exterior Color,GREY
9988,Exterior Color,BLACK
9988,Upholstery Type,BLACK
9989,Upholstery Type,BEIGE
9989,Exterior Color,WHITE
9990,Exterior Color,BLACK
9990,Upholstery Type,BLACK
9991,Exterior Color,SILVER
9991,Upholstery Type,BLACK
9992,Exterior Color,BLACK
9992,Upholstery Type,BLACK
9993,Exterior Color,GREY
9993,Upholstery Type,BLACK
9994,Exterior Color,WHITE
9994,Upholstery Type,BLACK
9995,Upholstery Type,BLACK
9995,Exterior Color,BLACK
9996,Exterior Color,BLACK
9996,Upholstery Type,BEIGE
9997,Exterior Color,SILVER
9997,Upholstery Type,BLACK
9998,Exterior Color,WHITE
9998,Upholstery Type,BLACK
9999,Upholstery Type,BLACK
9999,Exterior Color,WHITE
10000,Upholstery Type,BLACK
10000,Exterior Color,WHITE
10001,Exterior Color,GREY
10001,Upholstery Type,RED
10002,Exterior Color,SILVER
10002,Upholstery Type,BLACK
10003,Upholstery Type,BEIGE
10003,Exterior Color,BLACK
10004,Upholstery Type,BLACK
10004,Exterior Color,WHITE
10005,Exterior Color,WHITE
10005,Upholstery Type,RED
10006,Upholstery Type,BLACK
10006,Exterior Color,BLACK
10007,Exterior Color,UNDEF
10007,Upholstery Type,WHITE
10008,Exterior Color,BLUE
10008,Upholstery Type,BLACK
10009,Upholstery Type,BLACK
10009,Exterior Color,BLACK
10010,Exterior Color,BLACK
10010,Upholstery Type,BLACK
10011,Upholstery Type,BLACK
10011,Exterior Color,GREY
10012,Exterior Color,WHITE
10012,Upholstery Type,BLACK
10013,Exterior Color,BLACK
10013,Upholstery Type,BEIGE
10014,Exterior Color,BLACK
10014,Upholstery Type,BLACK
10015,Upholstery Type,BEIGE
10015,Exterior Color,WHITE
10016,Upholstery Type,BLACK
10016,Exterior Color,WHITE
10017,Upholstery Type,BLACK
10017,Exterior Color,SILVER
10018,Upholstery Type,BLACK
10018,Exterior Color,BLACK
10019,Upholstery Type,BLACK
10019,Exterior Color,SILVER
10020,Upholstery Type,BEIGE
10020,Exterior Color,WHITE
10021,Exterior Color,WHITE
10021,Upholstery Type,BROWN
10022,Upholstery Type,BLACK
10022,Exterior Color,BLACK
10023,Upholstery Type,UNDEF
10023,Exterior Color,BLACK
10024,Exterior Color,BLACK
10024,Upholstery Type,UNDEF
10025,Upholstery Type,BLACK
10025,Exterior Color,BLACK
10026,Upholstery Type,BLACK
10026,Exterior Color,BLACK
10027,Upholstery Type,RED
10027,Exterior Color,WHITE
10028,Upholstery Type,BLACK
10028,Exterior Color,BLACK
10029,Upholstery Type,BLACK
10029,Exterior Color,WHITE
10030,Exterior Color,GREY
10030,Upholstery Type,BLACK
10031,Exterior Color,WHITE
10031,Upholstery Type,BLACK
10032,Exterior Color,BLACK
10032,Upholstery Type,UNDEF
10033,Upholstery Type,BLACK
10033,Exterior Color,WHITE
10034,Upholstery Type,BLACK
10034,Exterior Color,BLACK
10035,Exterior Color,WHITE
10035,Upholstery Type,RED
10036,Exterior Color,GREY
10036,Upholstery Type,BLACK
10037,Exterior Color,BLACK
10037,Upholstery Type,BLACK
10038,Exterior Color,GREY
10038,Upholstery Type,RED
10039,Exterior Color,BLACK
10039,Upholstery Type,BLACK
10040,Upholstery Type,RED
10040,Exterior Color,WHITE
10041,Upholstery Type,BLACK
10041,Exterior Color,GREY
10042,Exterior Color,WHITE
10042,Upholstery Type,BLACK
10043,Exterior Color,WHITE
10043,Upholstery Type,RED
10044,Exterior Color,WHITE
10044,Upholstery Type,RED
10045,Exterior Color,RED
10045,Upholstery Type,BLACK
10046,Upholstery Type,BLACK
10046,Exterior Color,BLACK
10047,Upholstery Type,BROWN
10047,Exterior Color,BLACK
10048,Exterior Color,BLACK
10048,Upholstery Type,RED
10049,Upholstery Type,BLACK
10049,Exterior Color,BLACK
10050,Upholstery Type,BLACK
10050,Exterior Color,SILVER
10051,Exterior Color,WHITE
10051,Upholstery Type,BROWN
10052,Exterior Color,BLACK
10052,Upholstery Type,BLACK
10053,Upholstery Type,BLACK
10053,Exterior Color,WHITE
10054,Upholstery Type,RED
10054,Exterior Color,WHITE
10055,Exterior Color,BLACK
10055,Upholstery Type,BLACK
10056,Exterior Color,BLACK
10056,Upholstery Type,RED
10057,Upholstery Type,RED
10057,Exterior Color,BLACK
10058,Upholstery Type,BLACK
10058,Exterior Color,BLACK
10059,Upholstery Type,BLACK
10059,Exterior Color,GREY
10060,Exterior Color,WHITE
10060,Upholstery Type,BROWN
10061,Exterior Color,SILVER
10061,Upholstery Type,RED
10062,Exterior Color,GREY
10062,Upholstery Type,BLACK
10063,Upholstery Type,RED
10063,Exterior Color,BLACK
10064,Exterior Color,WHITE
10064,Upholstery Type,BLACK
10065,Exterior Color,GREY
10065,Upholstery Type,BLACK
10066,Exterior Color,BLUE
10066,Upholstery Type,BROWN
10067,Upholstery Type,RED
10067,Exterior Color,GREY
10068,Upholstery Type,RED
10068,Exterior Color,GREY
10069,Exterior Color,GREY
10069,Upholstery Type,RED
10070,Exterior Color,BLACK
10070,Upholstery Type,BLACK
10071,Exterior Color,BLACK
10071,Upholstery Type,BLACK
10072,Exterior Color,BLUE
10072,Upholstery Type,UNDEF
10073,Exterior Color,BLACK
10073,Upholstery Type,BLACK
10074,Exterior Color,GREY
10074,Upholstery Type,BROWN
10075,Exterior Color,BLUE
10075,Upholstery Type,BROWN
10076,Exterior Color,WHITE
10076,Upholstery Type,BLACK
10077,Upholstery Type,BLACK
10077,Exterior Color,WHITE
10078,Exterior Color,BLUE
10078,Upholstery Type,BLACK
10079,Exterior Color,BLACK
10079,Upholstery Type,UNDEF
10080,Upholstery Type,RED
10080,Exterior Color,WHITE
10081,Upholstery Type,RED
10081,Exterior Color,BLACK
10082,Upholstery Type,BLACK
10082,Exterior Color,WHITE
10083,Upholstery Type,BLACK
10083,Exterior Color,GREY
10084,Upholstery Type,BROWN
10084,Exterior Color,WHITE
10085,Exterior Color,WHITE
10085,Upholstery Type,BLACK
10086,Upholstery Type,BLACK
10086,Exterior Color,SILVER
10087,Exterior Color,BLACK
10087,Upholstery Type,BROWN
10088,Upholstery Type,BLACK
10088,Exterior Color,WHITE
10089,Exterior Color,RED
10089,Upholstery Type,BLACK
10090,Exterior Color,BLUE
10090,Upholstery Type,BLACK
10091,Exterior Color,BLACK
10091,Upholstery Type,BLACK
10092,Upholstery Type,BLACK
10092,Exterior Color,WHITE
10093,Exterior Color,BLUE
10093,Upholstery Type,BROWN
10094,Exterior Color,WHITE
10094,Upholstery Type,BLACK
10095,Exterior Color,BLUE
10095,Upholstery Type,UNDEF
10096,Upholstery Type,BLACK
10096,Exterior Color,GREY
10097,Exterior Color,BLACK
10097,Upholstery Type,UNDEF
10098,Exterior Color,GREY
10098,Upholstery Type,BLACK
10099,Upholstery Type,BROWN
10099,Exterior Color,WHITE
10100,Upholstery Type,UNDEF
10100,Exterior Color,GREY
10101,Exterior Color,GREY
10101,Upholstery Type,BROWN
10102,Exterior Color,SILVER
10102,Upholstery Type,BLACK
10103,Exterior Color,BLUE
10103,Upholstery Type,BLACK
10104,Exterior Color,SILVER
10104,Upholstery Type,BLACK
10105,Upholstery Type,BROWN
10105,Exterior Color,WHITE
10106,Upholstery Type,BLACK
10106,Exterior Color,GREY
10107,Exterior Color,UNDEF
10107,Upholstery Type,BLACK
10108,Exterior Color,SILVER
10108,Upholstery Type,BLACK
10109,Exterior Color,BLACK
10109,Upholstery Type,RED
10110,Upholstery Type,RED
10110,Exterior Color,GREY
10111,Exterior Color,GREY
10111,Upholstery Type,BLACK
10112,Exterior Color,BLACK
10112,Upholstery Type,RED
10113,Exterior Color,BLUE
10113,Upholstery Type,BROWN
10114,Exterior Color,BLACK
10114,Upholstery Type,UNDEF
10115,Exterior Color,WHITE
10115,Upholstery Type,RED
10116,Upholstery Type,BLACK
10116,Exterior Color,BLACK
10117,Upholstery Type,RED
10117,Exterior Color,BLACK
10118,Exterior Color,GREY
10118,Upholstery Type,RED
10119,Upholstery Type,BLACK
10119,Exterior Color,WHITE
10120,Exterior Color,BLACK
10120,Upholstery Type,RED
10121,Upholstery Type,BLACK
10121,Exterior Color,WHITE
10122,Upholstery Type,RED
10122,Exterior Color,GREY
10123,Exterior Color,BLACK
10123,Upholstery Type,RED
10124,Exterior Color,GREY
10124,Upholstery Type,RED
10125,Upholstery Type,BLACK
10125,Exterior Color,BLACK
10126,Exterior Color,BLACK
10126,Upholstery Type,RED
10127,Exterior Color,BLACK
10127,Upholstery Type,RED
10128,Exterior Color,BLACK
10128,Upholstery Type,BLACK
10129,Upholstery Type,BLACK
10129,Exterior Color,GREY
10130,Exterior Color,BLUE
10130,Upholstery Type,BEIGE
10131,Upholstery Type,BLACK
10131,Exterior Color,GREY
10132,Exterior Color,BLACK
10132,Upholstery Type,BLACK
10133,Exterior Color,GREY
10133,Upholstery Type,BLACK
10134,Upholstery Type,BLACK
10134,Exterior Color,WHITE
10135,Exterior Color,SILVER
10135,Upholstery Type,BLACK
10136,Exterior Color,WHITE
10136,Upholstery Type,RED
10137,Exterior Color,BLACK
10137,Upholstery Type,RED
10138,Upholstery Type,BLACK
10138,Exterior Color,WHITE
10139,Exterior Color,BLACK
10139,Upholstery Type,RED
10140,Exterior Color,BLACK
10140,Upholstery Type,BEIGE
10141,Exterior Color,WHITE
10141,Upholstery Type,BLACK
10142,Upholstery Type,BLACK
10142,Exterior Color,SILVER
10143,Upholstery Type,BLACK
10143,Exterior Color,GREY
10144,Upholstery Type,BLACK
10144,Exterior Color,BLACK
10145,Exterior Color,BLACK
10145,Upholstery Type,BLACK
10146,Exterior Color,BLACK
10146,Upholstery Type,BLACK
10147,Upholstery Type,BLACK
10147,Exterior Color,GREY
10148,Exterior Color,SILVER
10148,Upholstery Type,BLACK
10149,Upholstery Type,BLACK
10149,Exterior Color,WHITE
10150,Exterior Color,GREY
10150,Upholstery Type,BROWN
10151,Exterior Color,BLACK
10151,Upholstery Type,BROWN
10152,Upholstery Type,BROWN
10152,Exterior Color,WHITE
10153,Exterior Color,BLUE
10153,Upholstery Type,BLACK
10154,Upholstery Type,BLACK
10154,Exterior Color,BLACK
10155,Upholstery Type,BROWN
10155,Exterior Color,WHITE
10156,Upholstery Type,BROWN
10156,Exterior Color,GREY
10157,Exterior Color,RED
10157,Upholstery Type,BLACK
10158,Upholstery Type,BLACK
10158,Exterior Color,RED
10159,Exterior Color,WHITE
10159,Upholstery Type,RED
10160,Upholstery Type,BLACK
10160,Exterior Color,BLACK
10161,Exterior Color,WHITE
10161,Upholstery Type,BLACK
10162,Exterior Color,WHITE
10162,Upholstery Type,BLACK
10163,Upholstery Type,BROWN
10163,Exterior Color,GREY
10164,Exterior Color,BLACK
10164,Upholstery Type,RED
10165,Exterior Color,RED
10165,Upholstery Type,UNDEF
10166,Upholstery Type,RED
10166,Exterior Color,WHITE
10167,Upholstery Type,RED
10167,Exterior Color,WHITE
10168,Exterior Color,BLUE
10168,Upholstery Type,BROWN
10169,Upholstery Type,BLACK
10169,Exterior Color,BLACK
10170,Upholstery Type,BLACK
10170,Exterior Color,BLACK
10171,Exterior Color,WHITE
